,Peak_Index,Peak_X,Peak_Y,FrameForPeak,Onset_Index,Onset_X,Onset_Y,FrameForOnset,OnsetLatency
50,500566,496.8569142228617,1.1696614637910447,15746,499744,496.04885535902287,-1.5432800550652674,15720,0.8080588638388235
51,502558,498.8151298636974,1.4057354087061777,15809,501281,497.55978780880423,-1.1404745021189893,15768,1.2553420548931626
52,517294,513.3012070139758,1.5889703273231044,16272,516614,512.6327398273452,-0.25323362377525066,16251,0.6684671866306644
53,528982,524.7909783041804,1.321244306793621,16640,528324,524.1441379971172,-0.5789278104312382,16619,0.6468403070631439
54,537213,532.8823803823524,1.113887637751267,16899,535974,531.6643938467121,0.35614133008868015,16860,1.217986535640307
55,542056,537.6432430071351,1.5224350759099445,17051,541362,536.9610132607797,0.021269438928376516,17029,0.6822297463553468
56,550590,546.0325061993499,1.1903073537020847,17320,549865,545.3198022136039,-0.29175513754653576,17297,0.7127039857459749
57,560536,555.8098218438035,1.3280366229163623,17632,559902,555.1865744962685,0.896280632029306,17613,0.6232473475350844
58,580657,575.5895692882086,0.962690282924954,18265,579907,574.8522893029542,-0.6579063074922921,18242,0.7372799852544176
59,589745,584.5234366295313,1.2656808035104046,18551,589070,583.8598846428023,-0.959557114047098,18530,0.6635519867289759
60,600608,595.202199935956,0.7467727632285376,18893,599906,594.5121058697579,-1.613659124313285,18871,0.6900940661980712
