scorer,DLC_resnet50_OpenFieldJan19shuffle1_100000,DLC_resnet50_OpenFieldJan19shuffle1_100000,DLC_resnet50_OpenFieldJan19shuffle1_100000,DLC_resnet50_OpenFieldJan19shuffle1_100000,DLC_resnet50_OpenFieldJan19shuffle1_100000,DLC_resnet50_OpenFieldJan19shuffle1_100000,DLC_resnet50_OpenFieldJan19shuffle1_100000,DLC_resnet50_OpenFieldJan19shuffle1_100000,DLC_resnet50_OpenFieldJan19shuffle1_100000,DLC_resnet50_OpenFieldJan19shuffle1_100000,DLC_resnet50_OpenFieldJan19shuffle1_100000,DLC_resnet50_OpenFieldJan19shuffle1_100000
bodyparts,Nose,Nose,Nose,RightEar,RightEar,RightEar,LeftEar,LeftEar,LeftEar,Head,Head,Head
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
8,532.6349487304688,1140.09033203125,0.9979238510131836,587.5338745117188,1210.868896484375,0.972849428653717,494.712158203125,1221.7442626953125,0.9962118864059448,543.38330078125,1200.2498779296875,0.9997896552085876
9,537.5689697265625,1138.4063720703125,0.9900805354118347,589.1163330078125,1209.1219482421875,0.9800224304199219,497.3282775878906,1219.7283935546875,0.9938867688179016,546.7032470703125,1198.8135986328125,0.9997485280036926
10,541.0123901367188,1136.8709716796875,0.9868120551109314,594.625732421875,1208.0382080078125,0.9857592582702637,501.4913024902344,1217.071044921875,0.9932746887207031,551.9853515625,1198.2874755859375,0.9994766116142273
11,548.1444091796875,1135.869384765625,0.9944977164268494,598.8695678710938,1208.55859375,0.9862309098243713,507.4089050292969,1215.4188232421875,0.9931932091712952,556.6453247070312,1197.78564453125,0.9991324543952942
12,554.5740966796875,1137.030517578125,0.9862411022186279,605.4966430664062,1205.9822998046875,0.9888924956321716,512.1113891601562,1213.73828125,0.9830591678619385,562.1063842773438,1198.337158203125,0.9996957778930664
13,560.72314453125,1136.171142578125,0.991744339466095,610.9296264648438,1208.139404296875,0.9911119341850281,516.2423706054688,1214.17041015625,0.9869019985198975,568.712890625,1197.58251953125,0.999393105506897
14,570.2046508789062,1133.298583984375,0.9821731448173523,614.740966796875,1210.4063720703125,0.9887356162071228,520.3009643554688,1208.9583740234375,0.9700084924697876,573.015380859375,1196.34228515625,0.9993206262588501
15,579.7327880859375,1131.575439453125,0.9841372966766357,622.85400390625,1209.404296875,0.9897693395614624,527.022705078125,1203.8089599609375,0.9826453924179077,578.01220703125,1195.5736083984375,0.9997120499610901
16,583.9410400390625,1128.6971435546875,0.9940773248672485,628.5531616210938,1207.8597412109375,0.9925925135612488,532.9431762695312,1201.53173828125,0.9921926856040955,584.6949462890625,1189.9571533203125,0.999700665473938
17,588.8699951171875,1127.0732421875,0.997859537601471,634.8016967773438,1206.9761962890625,0.9911702871322632,539.323974609375,1202.482177734375,0.9913251399993896,590.384033203125,1187.197021484375,0.999783456325531
