coords,snout_x,snout_y,ID,centroid_x,centroid_y
267,,,mouse1,235.524,905.939
268,,,mouse1,241.575,902.002
269,,,mouse1,240.917,904.029
270,,,mouse1,240.859,904.861
271,,,mouse1,242.041,904.418
272,,,mouse1,242.738,903.085
273,,,mouse1,242.348,903.63
274,,,mouse1,243.269,903.49
275,,,mouse1,244.705,902.426
276,,,mouse1,246.758,902.334
277,,,mouse1,249.613,900.786
278,,,mouse1,249.84,901.351
279,,,mouse1,249.352,901.58
280,,,mouse1,241.388,901.61
281,,,mouse1,243.739,905.904
282,,,mouse1,248.231,894.74
283,,,mouse1,247.918,902.512
284,,,mouse1,246.519,902.912
285,,,mouse1,244.921,902.942
286,,,mouse1,246.522,902.844
287,,,mouse1,242.577,906.601
288,,,mouse1,245.527,903.729
289,,,mouse1,245.28,903.037
290,,,mouse1,244.342,902.856
291,,,mouse1,245.674,901.007
292,,,mouse1,246.033,900.521
293,,,mouse1,243.683,901.627
294,,,mouse1,244.229,901.118
295,,,mouse1,244.248,903.561
296,,,mouse1,246.091,902.324
297,,,mouse1,245.78,899.45
298,,,mouse1,244.468,899.985
299,,,mouse1,242.892,902.631
300,,,mouse1,243.341,905.562
301,,,mouse1,243.813,903.704
302,,,mouse1,239.861,910.789
303,,,mouse1,246.236,906.098
304,,,mouse1,248.408,902.478
305,,,mouse1,250.427,904.373
306,,,mouse1,251.597,902.334
307,,,mouse1,251.458,898.771
308,,,mouse1,244.876,899.605
309,,,mouse1,244.01,900.144
310,,,mouse1,247.598,899.719
311,,,mouse1,251.629,896.928
312,,,mouse1,242.377,900.215
313,,,mouse1,249.44,899.307
314,,,mouse1,248.4,903.081
315,,,mouse1,247.931,905.146
316,,,mouse1,242.518,903.463
317,,,mouse1,243.088,902.346
318,,,mouse1,241.869,902.587
319,,,mouse1,249.403,902.761
320,,,mouse1,248.48,902.605
321,,,mouse1,247.974,903.908
322,,,mouse1,242.533,903.067
323,,,mouse1,243.901,903.661
324,,,mouse1,243.042,901.973
