,Peak_Index,Peak_X,Peak_Y,FrameForPeak,Onset_Index,Onset_X,Onset_Y,FrameForOnset
44,475668,471.07570769848587,1.2471170713284199,15074,475023,470.4416469111671,-1.1592620803418052,15054
45,479249,474.59597386808053,1.7654819955275314,15187,478494,473.8537786829244,-1.1430355698769556,15163
46,484400,479.65961280680773,1.703862933532734,15349,482973,478.2568147548637,-0.06151367340828567,15304
47,489242,484.41949239161016,1.3080124454353048,15501,488573,483.7618386447632,-0.7785098633860519,15480
48,499147,494.15650339686994,1.4338287814246706,15813,498465,493.4860701302786,-0.051164332158436535,15791
49,505224,500.13043735739126,1.5436006499747266,16004,504314,499.2358709752826,-0.929867614700344,15975
50,509897,504.7241831855163,1.673036388147209,16151,508174,503.0304052993919,-0.21011247798801685,16096
51,517498,512.1962700760746,1.7490405436049103,16390,516533,511.2476364950473,-0.8510577840073345,16359
52,519276,513.9441151611177,1.6613404642583114,16446,518431,513.1134463777311,-1.7206019252967546,16419
53,536491,530.867148422657,1.3713700475350905,16987,535691,530.0807164383857,0.14676389645820395,16962
54,551248,545.3738694125226,1.6667416052184552,17451,549432,543.5886688082267,-0.10897496539289656,17394
55,554553,548.6228165475437,0.8845623148623019,17555,553873,547.954349360913,-1.3928040276434357,17534
56,562218,556.1578179968436,1.1960156970529618,17797,561571,555.5217911295641,-0.22257099729901403,17776
57,567828,561.6726722865466,1.3332222101774784,17973,567194,561.0494249390115,0.04444732606890214,17953
58,586020,579.5561356088773,0.8810477968952746,18545,584234,577.8004262039915,-1.4260897252117082,18489
59,593000,586.417754671645,0.5679586792624521,18765,590958,584.4103870317923,-1.2972106980528622,18701
60,608857,602.0058196398836,1.592614200639863,19264,608072,601.2341332553174,-1.0088695501327989,19239
