,Nose_x,Nose_y,Head_x,Head_y,roi,transition_index,N_s1_dist,NosePoke,Heading_2_Szone,distance,approaching,EVT1,EVT2,EVT3
14946,311.0340576171875,802.4984741210938,311.0340576171875,802.4984741210938,else,,,,False,733.7911879062535,False,,,
14947,304.4004821777344,806.143310546875,304.4004821777344,806.143310546875,else,,,,False,739.7684939061891,False,,,
14948,299.37274169921875,808.9034423828125,299.37274169921875,808.9034423828125,else,,,,False,744.3159586373308,False,,,
14949,293.7225646972656,815.0198974609375,293.7225646972656,815.0198974609375,else,,673.4411299392983,off,False,752.1982497206822,False,,,
14950,293.7225646972656,820.8621826171875,293.7225646972656,820.8621826171875,else,,678.892106398723,off,False,757.5380330232097,False,,,
14951,293.7225646972656,827.4671020507812,293.7225646972656,827.4671020507812,else,,685.0624056990649,off,False,763.5837178901464,False,,,
14952,294.2640380859375,834.004638671875,294.2640380859375,834.004638671875,else,,,,False,769.3614418683339,False,,,
14953,294.8412475585937,839.1013793945312,294.8412475585937,839.1013793945312,else,,695.4870719574105,off,False,773.8133082135513,False,,,
14954,294.8412475585937,841.4646606445312,294.8412475585937,841.4646606445312,else,,697.9756815583286,off,False,775.9856224056033,False,,,
14955,295.0396423339844,841.4646606445312,295.0396423339844,841.4646606445312,else,,697.7389628309463,off,False,775.9076244865753,True,,,
14956,295.0396423339844,841.4646606445312,295.0396423339844,841.4646606445312,else,,697.7347540735351,off,False,775.9076244865753,False,,,
14957,295.0396423339844,839.2404174804688,295.0396423339844,839.2404174804688,else,,695.3382551661832,off,False,773.8628762291002,True,,,
14958,295.0396423339844,835.2604370117188,295.0396423339844,835.2604370117188,else,,690.962819372209,off,False,770.206560287428,True,,,
14959,295.0575256347656,834.322021484375,295.0575256347656,834.322021484375,else,,690.0455122800726,off,False,769.337839122557,True,,,
14960,300.5389709472656,834.322021484375,300.5389709472656,834.322021484375,else,,688.1017922071965,off,False,767.181664245892,True,,,
14961,305.95465087890625,833.4293823242188,305.95465087890625,833.4293823242188,else,,685.7706847187961,off,False,764.2599562884835,True,,,
14962,309.03826904296875,834.322021484375,309.03826904296875,834.322021484375,else,,685.6365293667525,off,False,763.9041346368573,True,,,
14963,313.29571533203125,835.1781616210938,313.29571533203125,835.1781616210938,else,,685.1910681720427,off,False,763.0860365127653,True,,,
14964,316.17779541015625,835.2989501953125,316.17779541015625,835.2989501953125,else,,685.0933470550008,off,False,762.1199700609021,True,,,
14965,319.2565612792969,837.9218139648438,319.2565612792969,837.9218139648438,else,,686.655180876534,off,False,763.4172255902138,False,,,
14966,322.0525207519531,838.7862548828125,322.0525207519531,838.7862548828125,else,,686.6049211304125,off,False,763.1984678644723,True,,,
14967,326.138916015625,842.5447387695312,326.138916015625,842.5447387695312,else,,688.9240432427595,off,False,765.228120905338,False,,,
14968,328.1401672363281,843.4913940429688,328.1401672363281,843.4913940429688,else,,689.250178514205,off,False,765.399048614409,False,,,
14969,328.17205810546875,843.9446411132812,328.17205810546875,843.9446411132812,else,,689.6685571931591,off,False,765.8114383668095,False,,,
14970,328.3944091796875,844.8828735351562,328.3944091796875,844.8828735351562,else,,690.4959706411266,off,False,766.6098429663383,False,,,
14971,329.3140563964844,844.8828735351562,329.3140563964844,844.8828735351562,else,,690.2106363572282,off,False,766.2844996687252,True,,,
14972,329.3140563964844,847.323486328125,329.3140563964844,847.323486328125,else,,692.5366489168626,off,False,768.5682520425717,False,,,
14973,329.3140563964844,848.8624877929688,329.3140563964844,848.8624877929688,else,,694.0423059860024,off,False,770.0088352555402,False,,,
