,Peak_Index,Peak_X,Peak_Y,FrameForPeak,Onset_Index,Onset_X,Onset_Y,FrameForOnset,OnsetLatency,Height
32,361319,355.191350200756,6.148088311078172,8879,360427,354.31447853829343,2.105734568245845,8857,0.8768716624625768,4.042353742832327
33,365199,359.00554532447205,3.8928603185312873,8975,364450,358.269248379198,0.7616176118975408,8956,0.7362969452740344,3.1312427066337465
34,378779,372.3552282574784,8.638710583254406,9308,376632,370.24464141969014,-1.6656038146437866,9256,2.1105868377882757,10.304314397898192
35,382413,375.92759554603106,5.271727881467465,9398,381550,375.07923204299834,1.7953379041835442,9376,0.848363503032715,3.4763899772839206
36,395027,388.3276618580297,2.897565295742485,9708,394224,387.5382807538174,-1.2108060041362974,9688,0.7893811042123389,4.108371299878782
37,412320,405.32737223803554,6.909475499139682,10133,411530,404.55077065356755,3.9470165022187422,10113,0.7766015844679828,2.96245899692094
38,423887,416.69819569061906,4.481081673700462,10417,422417,415.25312691952047,-0.8320944102659934,10381,1.4450687710985903,5.3131760839664555
39,438949,431.5047438744881,1.5660446285772835,10787,436573,429.1690408812022,-3.566640629106804,10729,2.3357029932859064,5.132685257684088
40,478095,469.9868269448464,2.1438134408381737,11749,477224,469.130599121971,-1.5449005152658577,11728,0.8562278228754394,3.6887139561040314
41,493036,484.67442729109445,4.42037855316999,12116,489853,481.5454110336748,-1.5949287317681247,12038,3.1290162574196643,6.015307284938115
42,503306,494.77024788917805,3.0827867599027314,12369,501443,492.9388444058061,-1.7510340115885683,12323,1.8314034833719575,4.8338207714912995
43,506274,497.68791055082477,4.05375232834131,12442,505413,496.8415131277527,0.11559787159091682,12421,0.8463974230720623,3.938154456750393
44,517108,508.3381656978197,0.18995672909084146,12708,516219,507.46424315529816,-2.7680695090683334,12686,0.8739225425215409,2.958026238159175
45,522498,513.6367511918479,3.739777071802442,12840,520183,511.3610136373627,-3.102961199582154,12784,2.275737554485204,6.8427382713845954
46,527327,518.3838512569059,6.242554099647479,12959,525476,516.564244253298,-1.7600286276232577,12914,1.8196070036078709,8.002582727270736
47,531498,522.4841110149008,5.196108773112785,13062,530647,521.6475439916321,0.33678115381686985,13041,0.8365670232686853,4.859327619295915
