p_val,avg_log2FC,pct.OE,pct.Scr,p_val_adj,gene
6.29E-03,-0.2314272656,0.323,0.483,1.00E+00,Cep350
6.30E-03,-0.1703087906,0.479,0.715,1.00E+00,5330438D12Rik
6.31E-03,-0.2170039605,0.188,0.314,1.00E+00,Cdk11b
6.31E-03,-0.3809397726,0.092,0.179,1.00E+00,Lrp3
6.32E-03,-0.4731543225,0.053,0.116,1.00E+00,Zfp53
6.33E-03,-0.3704350086,0.083,0.164,1.00E+00,Plgrkt
6.35E-03,-0.2588471659,0.103,0.193,1.00E+00,Ckmt1
6.35E-03,-0.5228616585,0.046,0.106,1.00E+00,Atp6v1g1
6.35E-03,-0.1151308568,0.067,0.14,1.00E+00,2510002D24Rik
6.36E-03,-0.4285930685,0.08,0.159,1.00E+00,Mrps27
6.36E-03,-0.1941238456,0.649,0.85,1.00E+00,Ankrd12
6.36E-03,-0.1211889162,0.452,0.691,1.00E+00,Arfgef2
6.39E-03,-0.174843197,0.594,0.841,1.00E+00,Atp6v0c
6.39E-03,-0.2768755661,0.181,0.304,1.00E+00,Cep120
6.41E-03,-0.2264055029,0.122,0.222,1.00E+00,Plekhn1
6.41E-03,-0.137241695,0.264,0.435,1.00E+00,Lin52
6.41E-03,-0.7162748131,0.037,0.092,1.00E+00,Pla2g12a
6.41E-03,-0.3765472071,0.037,0.092,1.00E+00,Sdc2
6.42E-03,-0.1631349263,0.092,0.179,1.00E+00,Tmem248
6.42E-03,-0.6996198143,0.053,0.116,1.00E+00,Tpp1
6.42E-03,-0.2405969282,0.232,0.386,1.00E+00,Mia2
6.42E-03,-0.4358151451,0.101,0.188,1.00E+00,Parl
6.43E-03,-0.9197043027,0.023,0.068,1.00E+00,Cnnm4
6.44E-03,-0.2318173106,0.115,0.213,1.00E+00,Hikeshi
6.46E-03,-0.8522763817,0.034,0.087,1.00E+00,Gm17359
6.46E-03,-0.1974115845,0.089,0.174,1.00E+00,Tiprl
6.48E-03,-0.2260444709,0.183,0.309,1.00E+00,Vdac1
6.48E-03,-0.9738739015,0.023,0.068,1.00E+00,Wdr77
6.50E-03,-0.1580564496,0.179,0.309,1.00E+00,Csf2ra
6.51E-03,-0.2919675492,0.046,0.106,1.00E+00,Usp42
6.52E-03,-0.2987906465,0.073,0.15,1.00E+00,Cpsf3
6.54E-03,-0.4076472382,0.046,0.106,1.00E+00,Gm46124
6.54E-03,-0.7893538642,0.023,0.068,1.00E+00,Men1
6.57E-03,-0.2123117049,0.092,0.179,1.00E+00,Asb7
6.59E-03,-0.4767637798,0.071,0.145,1.00E+00,Mzt1
6.59E-03,-0.1722619009,0.076,0.155,1.00E+00,Nt5c3
6.59E-03,-0.4567401022,0.055,0.121,1.00E+00,Gm28379
