p_val,avg_log2FC,pct.KD,pct.Scr,p_val_adj,gene
2.09E-02,-1.357300643,0.004,0.024,1.00E+00,Dph2
2.09E-02,-1.886110968,0.004,0.024,1.00E+00,Fblim1
2.09E-02,-1.671382995,0.004,0.024,1.00E+00,Med29
2.09E-02,-1.423893583,0.004,0.024,1.00E+00,Cisd3
2.09E-02,-1.480126467,0.004,0.024,1.00E+00,Gm50368
2.09E-02,-0.3488094167,0.107,0.179,1.00E+00,Tmco1
2.09E-02,-0.9729953304,0.02,0.053,1.00E+00,Plk3
2.10E-02,-0.153261528,0.093,0.164,1.00E+00,Klhl13
2.10E-02,-1.569298785,0.007,0.029,1.00E+00,Aga
2.10E-02,-1.449258517,0.007,0.029,1.00E+00,Gm15601
2.10E-02,-0.3742755753,0.05,0.101,1.00E+00,Shq1
2.11E-02,-1.198452219,0.004,0.024,1.00E+00,Fam107b
2.11E-02,-1.075427135,0.004,0.024,1.00E+00,Gm13054
2.11E-02,-1.494007668,0.004,0.024,1.00E+00,Srd5a3
2.11E-02,-1.420101698,0.004,0.024,1.00E+00,Pcdhb22
2.11E-02,-1.578468148,0.004,0.024,1.00E+00,A930012L18Rik
2.11E-02,-0.3442782829,0.389,0.483,1.00E+00,Cntnap5b
2.11E-02,-1.243339095,0.007,0.029,1.00E+00,Cdk15
2.11E-02,-1.061793979,0.007,0.029,1.00E+00,Egr4
2.11E-02,-1.410267451,0.007,0.029,1.00E+00,Gm35823
2.11E-02,-1.379495451,0.007,0.029,1.00E+00,2610318N02Rik
2.11E-02,-0.179483594,0.1,0.174,1.00E+00,Cend1
2.12E-02,-0.1934977409,0.161,0.261,1.00E+00,Arfgap3
2.12E-02,-0.2309677085,0.459,0.604,1.00E+00,Slc24a3
2.12E-02,-0.7335807573,0.02,0.053,1.00E+00,Gm38304
2.12E-02,-0.5318121022,0.035,0.077,1.00E+00,Dkc1
2.12E-02,-1.35121398,0.007,0.029,1.00E+00,Ddr2
2.12E-02,-1.283437341,0.007,0.029,1.00E+00,Vcpkmt
2.12E-02,-0.8102389826,0.007,0.029,1.00E+00,Ifi27
2.12E-02,-0.1232638359,0.367,0.531,1.00E+00,9630028H03Rik
2.13E-02,-0.1092115946,0.33,0.498,1.00E+00,Pds5b
2.13E-02,-0.3269610758,0.098,0.169,1.00E+00,Polr1a
2.14E-02,-0.1442375937,0.554,0.754,1.00E+00,Hectd4
2.14E-02,-0.3481592462,0.211,0.309,1.00E+00,Sh3d19
2.14E-02,-0.5034679939,0.05,0.101,1.00E+00,Cldnd1
2.14E-02,-0.7128751959,0.035,0.077,1.00E+00,1500009L16Rik
2.14E-02,-0.6346562386,0.054,0.106,1.00E+00,Rbm7
2.14E-02,-0.2645816702,0.257,0.386,1.00E+00,Hnrnph1
2.14E-02,-0.2635187014,0.148,0.237,1.00E+00,Pnkp
2.14E-02,-0.1482778703,0.304,0.449,1.00E+00,Cyth3
2.14E-02,-0.8173770328,0.02,0.053,1.00E+00,Tnfsf13b
2.15E-02,-0.1839456568,0.709,0.884,1.00E+00,Dnm3
2.15E-02,0.2747905323,0.959,0.986,1.00E+00,Pcdh9
2.15E-02,-0.5367171038,0.1,0.169,1.00E+00,Golph3
2.15E-02,-0.1547002991,0.711,0.855,1.00E+00,Gabrb1
2.15E-02,-0.3056893697,0.187,0.285,1.00E+00,Pus7
2.15E-02,-0.1469893608,0.141,0.227,1.00E+00,Arl8a
2.16E-02,-0.1356090149,0.083,0.15,1.00E+00,Rnf168
2.16E-02,-0.3301573503,0.05,0.101,1.00E+00,Fam184b
2.16E-02,0.1119407386,0.065,0.126,1.00E+00,Rad23a
2.16E-02,-0.2674480651,0.098,0.169,1.00E+00,Slc35c2
2.17E-02,-0.4636460514,0.028,0.068,1.00E+00,Arf2
2.17E-02,-0.4729874217,0.089,0.155,1.00E+00,Acad10
2.17E-02,-0.1679794357,0.17,0.266,1.00E+00,Btf3l4
2.17E-02,-0.2539658712,0.063,0.121,1.00E+00,Zmpste24
2.17E-02,-0.2668710243,0.043,0.092,1.00E+00,9330151L19Rik
2.17E-02,-0.1853644132,0.083,0.15,1.00E+00,Cwc15
2.18E-02,-0.1058656264,0.396,0.57,1.00E+00,Syngr1
2.18E-02,-0.345363926,0.057,0.111,1.00E+00,Topors
2.18E-02,-0.1007826195,0.187,0.295,1.00E+00,Nars2
2.18E-02,-0.9903393929,0.02,0.053,1.00E+00,Inhba
2.18E-02,-0.2185439304,0.272,0.396,1.00E+00,Shank2
2.18E-02,-0.1615674045,0.115,0.193,1.00E+00,Zfp771
2.18E-02,-0.427803505,0.065,0.121,1.00E+00,Dek
2.19E-02,-0.2710309869,0.093,0.164,1.00E+00,Keap1
2.19E-02,-0.1037340244,0.159,0.256,1.00E+00,Gm43376
2.19E-02,-0.5182357947,0.028,0.068,1.00E+00,Zfp467
2.20E-02,-0.2036406178,0.189,0.295,1.00E+00,Btbd8
2.20E-02,-0.1823841583,0.074,0.135,1.00E+00,Bicd2
2.20E-02,-0.2885083345,0.087,0.155,1.00E+00,Dnajb11
2.20E-02,-0.25138144,0.298,0.435,1.00E+00,Dync1li1
2.20E-02,-0.1201834227,0.898,0.981,1.00E+00,Srrm4
2.20E-02,0.2748885759,0.813,0.899,1.00E+00,Atp6v0b
2.20E-02,-0.6520689789,0.054,0.106,1.00E+00,Skp1a
2.21E-02,-0.5102257218,0.054,0.106,1.00E+00,Gm38251
2.21E-02,-0.1326006739,0.889,0.976,1.00E+00,Dip2c
2.22E-02,-0.7989778488,0.035,0.077,1.00E+00,Irak1bp1
2.22E-02,-0.2235379142,0.259,0.382,1.00E+00,Slc4a8
2.22E-02,-0.1553227552,0.378,0.546,1.00E+00,Sppl3
2.22E-02,-0.1162580376,0.278,0.42,1.00E+00,St3gal6
2.22E-02,-0.1770139781,0.154,0.251,1.00E+00,Tyw1
2.23E-02,-0.5803748443,0.035,0.077,1.00E+00,Klf6
2.23E-02,-0.1929662615,0.483,0.676,1.00E+00,Brd4
2.23E-02,-0.2709662153,0.05,0.101,1.00E+00,Zfp267
2.23E-02,-0.4175455708,0.061,0.116,1.00E+00,Fbxl18
2.23E-02,-0.4080657514,0.072,0.13,1.00E+00,A230077H06Rik
2.23E-02,-0.1746048666,0.083,0.15,1.00E+00,Txnrd1
2.23E-02,-0.3572152673,0.078,0.14,1.00E+00,Tmem38b
2.24E-02,-0.2094549073,0.157,0.261,1.00E+00,Prkar2b
2.24E-02,2.492041744,0.043,0.01,1.00E+00,Ccnd1
2.24E-02,-0.6164789297,0.035,0.077,1.00E+00,Gm14211
2.24E-02,-0.2936965859,0.143,0.227,1.00E+00,Gm11149
2.24E-02,-0.2196238095,0.098,0.169,1.00E+00,Nasp
2.25E-02,-0.2612320375,0.109,0.184,1.00E+00,Tmem229b
2.25E-02,-0.251592193,0.254,0.377,1.00E+00,Dcbld2
2.25E-02,-0.1508865055,0.091,0.159,1.00E+00,Tent4a
2.25E-02,-0.1888985931,0.248,0.357,1.00E+00,Rragb
2.25E-02,-0.1880533979,0.42,0.623,1.00E+00,Wapl
2.26E-02,-0.1122226796,0.772,0.899,1.00E+00,B3galt1
2.26E-02,-0.1601190306,0.417,0.614,1.00E+00,Nsd2
2.26E-02,-0.5216911966,0.02,0.053,1.00E+00,Eloa
2.27E-02,-0.2110577854,0.167,0.266,1.00E+00,Ikbkb
2.27E-02,-0.1340715042,0.267,0.396,1.00E+00,Ubn1
2.27E-02,-0.1233947827,0.174,0.28,1.00E+00,Zcchc4
2.28E-02,-0.1775907586,0.183,0.285,1.00E+00,Extl3
2.28E-02,-0.1302431143,0.33,0.473,1.00E+00,Atad1
2.28E-02,-0.1464128056,0.128,0.213,1.00E+00,Ptch1
2.29E-02,-0.1961767384,0.259,0.391,1.00E+00,Esco1
2.29E-02,-0.2082111224,0.209,0.319,1.00E+00,Dpy19l4
2.30E-02,0.2600949012,0.824,0.932,1.00E+00,Mbd5
2.30E-02,-0.4544855655,0.035,0.077,1.00E+00,Junb
2.30E-02,-0.2683819174,0.137,0.222,1.00E+00,Usp49
2.30E-02,0.1294774065,0.13,0.217,1.00E+00,Ano8
2.31E-02,-0.3861166622,0.072,0.13,1.00E+00,Slc12a9
2.31E-02,-0.1053919911,0.274,0.42,1.00E+00,Akap7
2.31E-02,-0.2816647989,0.078,0.14,1.00E+00,Ppp5c
2.31E-02,-0.3041023414,0.091,0.159,1.00E+00,Fbrs
2.31E-02,-0.2096687079,0.08,0.145,1.00E+00,E430024I08Rik
2.32E-02,-0.1883057221,0.196,0.304,1.00E+00,Ldah
2.32E-02,-0.527604988,0.041,0.087,1.00E+00,Disc1
2.32E-02,-0.4632699096,0.041,0.087,1.00E+00,Cabyr
2.32E-02,0.3930689601,0.611,0.643,1.00E+00,Brinp1
2.32E-02,-0.1199541195,0.135,0.222,1.00E+00,Man2c1os
2.32E-02,-0.2043465144,0.257,0.377,1.00E+00,Erlec1
2.32E-02,-0.3381310763,0.061,0.116,1.00E+00,Polr3d
2.32E-02,-0.9648141078,0.026,0.063,1.00E+00,9230114K14Rik
2.32E-02,-0.2334026447,0.137,0.222,1.00E+00,Fam92a
2.32E-02,-0.1954201699,0.502,0.7,1.00E+00,Mef2a
2.33E-02,-0.2554337395,0.233,0.353,1.00E+00,Rnf13
2.33E-02,-0.1396586771,0.107,0.184,1.00E+00,Tubgcp3
2.33E-02,-0.2351494809,0.122,0.203,1.00E+00,Mbtps1
2.34E-02,-0.9704908193,0.026,0.063,1.00E+00,Nmnat3
2.34E-02,-0.5722372125,0.035,0.077,1.00E+00,Spata2
2.34E-02,-0.1382933935,0.43,0.614,1.00E+00,Pcnx2
2.34E-02,-0.8860192606,0.017,0.048,1.00E+00,Klhl9
2.35E-02,-0.1694261869,0.254,0.382,1.00E+00,Myo9b
2.35E-02,-0.216676046,0.074,0.135,1.00E+00,Cuedc2
2.35E-02,-0.413839452,0.135,0.213,1.00E+00,Siah3
2.35E-02,-0.151166558,0.224,0.343,1.00E+00,Efcab14
2.36E-02,-0.4679604929,0.054,0.106,1.00E+00,Atf6b
2.36E-02,-0.6528162546,0.041,0.087,1.00E+00,Nosip
2.36E-02,-0.3135824942,0.041,0.087,1.00E+00,Yif1b
2.36E-02,-0.1555866916,0.08,0.145,1.00E+00,Mindy4
2.36E-02,-0.197898754,0.287,0.43,1.00E+00,Axin1
2.38E-02,-0.1482375823,0.165,0.261,1.00E+00,Zfp277
2.38E-02,-0.3976179746,0.054,0.106,1.00E+00,Siah2
2.38E-02,-0.1163679204,0.33,0.469,1.00E+00,Map6
2.38E-02,-0.1574534134,0.52,0.739,1.00E+00,Glrb
2.38E-02,-0.1172977229,0.522,0.696,1.00E+00,Ppm1l
2.38E-02,-0.186838867,0.159,0.251,1.00E+00,Sp1
2.39E-02,-0.1153994817,0.209,0.319,1.00E+00,Camsap1
2.39E-02,-0.202092166,0.585,0.744,1.00E+00,Nr6a1
2.39E-02,-0.1171379691,0.07,0.13,1.00E+00,Sema4f
2.39E-02,-0.2189735607,0.317,0.454,1.00E+00,Pip5k1a
2.40E-02,-0.2691784982,0.067,0.126,1.00E+00,Ikbkg
2.40E-02,-0.1195890124,0.107,0.179,1.00E+00,Armh4
2.40E-02,-0.4564838807,0.048,0.097,1.00E+00,Qpctl
2.40E-02,-0.1089508091,0.396,0.556,1.00E+00,Tshz3
2.40E-02,-0.5375936665,0.072,0.13,1.00E+00,4930556N13Rik
2.40E-02,1.796510241,0.059,0.019,1.00E+00,Npas1
2.40E-02,-0.6386991338,0.026,0.063,1.00E+00,Gm7030
2.41E-02,-0.1576361739,0.246,0.367,1.00E+00,Dnajc11
2.41E-02,-0.1628078137,0.265,0.401,1.00E+00,Mga
2.41E-02,-1.151287362,0.017,0.048,1.00E+00,Fbxo2
2.41E-02,-0.1701849308,0.067,0.126,1.00E+00,Pet100
2.41E-02,-0.1900883527,0.067,0.126,1.00E+00,Lamb1
2.42E-02,-0.131450008,0.237,0.362,1.00E+00,Pebp1
2.43E-02,0.2591249874,0.8,0.855,1.00E+00,Osbpl9
2.43E-02,-0.2157315596,0.091,0.159,1.00E+00,A230056P14Rik
2.43E-02,-1.154027355,0.017,0.048,1.00E+00,9530082P21Rik
2.43E-02,-0.2123572639,0.511,0.652,1.00E+00,Slit3
2.44E-02,-0.4234660858,0.076,0.135,1.00E+00,Sarm1
2.44E-02,-0.8101484007,0.026,0.063,1.00E+00,Gm13008
2.44E-02,-0.2657009228,0.354,0.488,1.00E+00,Sox5os4
2.44E-02,-1.071013223,0.017,0.048,1.00E+00,Mtrf1
2.44E-02,2.13038158,0.059,0.019,1.00E+00,Glra3
2.44E-02,-0.1164669237,0.335,0.502,1.00E+00,Podxl2
2.45E-02,-0.2506595184,0.08,0.145,1.00E+00,Tceal5
2.45E-02,-1.139446406,0.017,0.048,1.00E+00,Tgfbr3l
2.45E-02,-0.2991417022,0.135,0.217,1.00E+00,Klf13
2.45E-02,-0.1431199674,0.13,0.213,1.00E+00,Abhd3
2.46E-02,-0.1023732907,0.08,0.145,1.00E+00,Gtf2ird2
2.46E-02,-0.1992535797,0.413,0.589,1.00E+00,Ube2w
2.46E-02,-0.3731666999,0.18,0.271,1.00E+00,Gm48893
2.46E-02,-0.1704994996,0.62,0.826,1.00E+00,Dock7
2.46E-02,-1.221428095,0.017,0.048,1.00E+00,Gm3435
2.46E-02,-0.3354308663,0.048,0.097,1.00E+00,Dnaaf5
2.47E-02,-0.1775321441,0.178,0.275,1.00E+00,Zfat
2.48E-02,-0.1404949491,0.357,0.512,1.00E+00,Taok3
2.48E-02,-0.6842793452,0.046,0.092,1.00E+00,Pknox1
2.48E-02,-0.2060302793,0.087,0.155,1.00E+00,Commd3
2.48E-02,-1.025205814,0.017,0.048,1.00E+00,Abcg2
2.48E-02,-0.9745905436,0.017,0.048,1.00E+00,Tpmt
2.48E-02,-0.1459446957,0.115,0.193,1.00E+00,Pafah1b2
2.49E-02,-0.1800683841,0.283,0.43,1.00E+00,Cers5
2.49E-02,0.3388344721,0.648,0.72,1.00E+00,Krit1
2.49E-02,-0.1669838513,0.128,0.213,1.00E+00,Ubxn11
2.49E-02,-0.3996874275,0.048,0.097,1.00E+00,Ppif
2.50E-02,-0.4285928621,0.017,0.048,1.00E+00,Wdr31
2.50E-02,-0.1502394173,0.098,0.169,1.00E+00,Taok2
2.50E-02,-0.1207839902,0.746,0.884,1.00E+00,Sptbn1
2.50E-02,3.789296546,0.024,0,1.00E+00,Bche
2.50E-02,3.574841257,0.024,0,1.00E+00,Gm15631
2.50E-02,3.76477806,0.024,0,1.00E+00,Lpcat2
2.50E-02,3.519034926,0.024,0,1.00E+00,Stox1
2.50E-02,3.57395846,0.024,0,1.00E+00,Scgb2b2
2.51E-02,-1.056942838,0.017,0.048,1.00E+00,Ubqln2
2.51E-02,-0.182725593,0.35,0.507,1.00E+00,Ppp1r16b
2.52E-02,0.264616852,0.824,0.903,1.00E+00,Snrnp70
2.52E-02,-0.327809128,0.072,0.13,1.00E+00,Blcap
2.52E-02,-0.2683060469,0.154,0.246,1.00E+00,Slc9a8
2.53E-02,-0.4873587616,0.08,0.14,1.00E+00,Ibtk
2.53E-02,-0.8490386145,0.017,0.048,1.00E+00,Gm37814
2.53E-02,-0.8889798343,0.017,0.048,1.00E+00,Gm9899
2.53E-02,-0.9809374461,0.017,0.048,1.00E+00,Gm15591
2.53E-02,-0.4487760451,0.026,0.063,1.00E+00,Accs
2.53E-02,-0.4961559487,0.585,0.638,1.00E+00,Nrg1
2.54E-02,-0.6676020637,0.033,0.072,1.00E+00,Hsdl1
2.54E-02,-0.6318661983,0.026,0.063,1.00E+00,Bysl
2.55E-02,-0.4325813355,0.048,0.097,1.00E+00,Dock1
2.56E-02,-0.344805699,0.078,0.14,1.00E+00,Hacd4
2.56E-02,-0.1340829919,0.248,0.372,1.00E+00,Cdc73
2.56E-02,-0.1215221151,0.124,0.203,1.00E+00,Mme
2.56E-02,-0.1197931497,0.526,0.729,1.00E+00,Arhgap21
2.56E-02,-0.1659728938,0.085,0.15,1.00E+00,Aarsd1
2.57E-02,-0.7241215428,0.026,0.063,1.00E+00,Gm46447
2.57E-02,-0.4878005643,0.017,0.048,1.00E+00,Fam131b
2.57E-02,-0.5031643827,0.017,0.048,1.00E+00,Gm17089
2.58E-02,-0.4142254363,0.052,0.101,1.00E+00,Pnpo
2.58E-02,-0.2549787305,0.035,0.077,1.00E+00,Cyth2
2.58E-02,-0.2281744938,0.078,0.14,1.00E+00,Bmyc
2.58E-02,-0.3624848126,0.072,0.13,1.00E+00,Nab1
2.58E-02,-0.8195554285,0.033,0.072,1.00E+00,Gm15856
2.59E-02,-0.2608168987,0.202,0.309,1.00E+00,Cntnap1
2.59E-02,-0.1030706309,0.128,0.213,1.00E+00,Kmt2b
2.59E-02,-0.3565102179,0.526,0.662,1.00E+00,mt-Cytb
2.59E-02,-0.3964948983,0.15,0.232,1.00E+00,Slc25a40
2.59E-02,-0.3815027522,0.067,0.126,1.00E+00,Lamtor1
2.60E-02,-0.2661604773,0.048,0.097,1.00E+00,Gm15083
2.60E-02,-0.2303296878,0.176,0.28,1.00E+00,Polr3e
2.60E-02,0.1720633386,0.089,0.159,1.00E+00,Sbno2
2.60E-02,-0.4104562211,0.026,0.063,1.00E+00,Pmpcb
2.60E-02,-0.1535947121,0.283,0.42,1.00E+00,Tnpo3
2.60E-02,-0.4232748244,0.017,0.048,1.00E+00,Shmt2
2.61E-02,-0.4407227226,0.098,0.164,1.00E+00,Dtx1
2.61E-02,-0.1703603428,0.048,0.097,1.00E+00,Trim67
2.61E-02,-0.4589220759,0.065,0.121,1.00E+00,Pskh1
2.61E-02,-0.2346755359,0.383,0.527,1.00E+00,Tomm40
2.61E-02,-0.3558569785,0.039,0.082,1.00E+00,Dedd
2.62E-02,-0.5385763506,0.026,0.063,1.00E+00,Hnrnpa0
2.62E-02,-0.1797891588,0.485,0.667,1.00E+00,Stk39
2.62E-02,-0.2229138476,0.078,0.14,1.00E+00,Gm14966
2.63E-02,-0.1779514856,0.493,0.671,1.00E+00,Daam1
2.64E-02,-0.2260185498,0.207,0.319,1.00E+00,Cox10
2.64E-02,-0.1194484312,0.048,0.097,1.00E+00,Psmg2
2.65E-02,-0.3167290345,0.276,0.401,1.00E+00,Smarcad1
2.65E-02,-0.4960628811,0.052,0.101,1.00E+00,Hmgcs1
2.65E-02,-0.3109216627,0.072,0.13,1.00E+00,Tbpl1
2.66E-02,-0.1923482385,0.376,0.531,1.00E+00,Rnf216
2.66E-02,-0.2004530682,0.289,0.425,1.00E+00,Dnaja2
2.67E-02,-0.2592374591,0.996,1,1.00E+00,Galntl6
2.67E-02,-0.2299029772,0.552,0.729,1.00E+00,Pakap
2.68E-02,-0.4561349655,0.039,0.082,1.00E+00,Prr12
2.69E-02,-0.1770340294,0.426,0.609,1.00E+00,Dync1h1
2.70E-02,-0.1195737172,0.196,0.3,1.00E+00,Grb2
2.70E-02,-0.3553214648,0.059,0.111,1.00E+00,9330188P03Rik
2.70E-02,-0.2812384217,0.191,0.29,1.00E+00,Rnf34
2.71E-02,0.5011788403,0.513,0.502,1.00E+00,Mapk8
2.71E-02,-0.2016665787,0.091,0.159,1.00E+00,Spag1
2.71E-02,-0.2216064811,0.548,0.71,1.00E+00,Galnt17
2.73E-02,-0.2843217051,0.187,0.285,1.00E+00,Ski
2.73E-02,-0.1637172533,0.324,0.473,1.00E+00,Wdr70
2.73E-02,-0.3152210787,0.078,0.14,1.00E+00,Syt5
2.73E-02,-0.5404930151,0.033,0.072,1.00E+00,Taf5
2.73E-02,-0.368353458,0.072,0.13,1.00E+00,Sdad1
2.73E-02,-0.6164007978,0.046,0.092,1.00E+00,Anapc7
2.74E-02,-0.4071475573,0.102,0.169,1.00E+00,Cops8
2.74E-02,-0.4974038217,0.102,0.169,1.00E+00,Rab11a
2.74E-02,-1.282337629,0.03,0.068,1.00E+00,Elmod2
2.74E-02,-0.3917988875,0.104,0.174,1.00E+00,Gm16759
2.74E-02,-0.4803954025,0.039,0.082,1.00E+00,Wdr74
2.75E-02,-0.1836714362,0.287,0.43,1.00E+00,Dtd1
2.75E-02,-0.3665801618,0.176,0.266,1.00E+00,Zfp91
2.75E-02,-1.066908976,0.024,0.058,1.00E+00,Fa2h
2.75E-02,0.2881666955,0.757,0.768,1.00E+00,Nktr
2.75E-02,-0.3872644523,0.076,0.135,1.00E+00,Zfp930
2.76E-02,-0.2489509219,0.078,0.14,1.00E+00,Ccnk
2.76E-02,-0.1652325382,0.28,0.411,1.00E+00,Lin28b
2.76E-02,-0.2271497955,0.204,0.309,1.00E+00,Fam171a1
2.77E-02,-0.5281311849,0.052,0.101,1.00E+00,Gm45871
2.77E-02,-0.1025908633,0.226,0.348,1.00E+00,Tram1
2.77E-02,-0.1299970819,0.12,0.198,1.00E+00,Klhl20
2.77E-02,-0.1783505337,0.059,0.111,1.00E+00,Poc1b
2.77E-02,-0.1232558523,0.148,0.237,1.00E+00,Dnal1
2.78E-02,-0.2427118446,0.072,0.13,1.00E+00,Cacna1i
2.78E-02,-0.2472979453,0.039,0.082,1.00E+00,Inip
2.78E-02,-0.2275620357,0.3,0.43,1.00E+00,Fxr1
2.78E-02,-0.1146480741,0.048,0.097,1.00E+00,Zfp637
2.78E-02,-0.1216053774,0.472,0.618,1.00E+00,Slc38a2
2.78E-02,-0.2560927965,0.172,0.261,1.00E+00,Agl
2.79E-02,0.149076822,0.087,0.155,1.00E+00,Crem
2.79E-02,-0.5742612128,0.089,0.15,1.00E+00,Ddrgk1
2.79E-02,-0.2457879325,0.1,0.169,1.00E+00,Nkap
2.79E-02,-0.346840861,0.076,0.135,1.00E+00,St8sia3
2.80E-02,-0.3156092237,0.104,0.174,1.00E+00,Bcas3os1
2.80E-02,-0.175196949,0.396,0.565,1.00E+00,Sept7
2.80E-02,-0.4081564932,0.046,0.092,1.00E+00,Col16a1
2.81E-02,-0.2257416667,0.12,0.198,1.00E+00,Hadhb
2.81E-02,-0.5032808889,0.033,0.072,1.00E+00,Sord
2.81E-02,-0.2797277333,0.109,0.179,1.00E+00,Hspd1
2.82E-02,-1.259209121,0.015,0.043,1.00E+00,Mpp4
2.82E-02,-0.3999575651,0.033,0.072,1.00E+00,Col20a1
2.82E-02,-0.3594353216,0.117,0.188,1.00E+00,Adck5
2.83E-02,-0.108329546,0.113,0.188,1.00E+00,Tom1
2.83E-02,-0.158634783,0.104,0.179,1.00E+00,Lmo4
2.84E-02,-0.1100833399,0.117,0.198,1.00E+00,Gosr2
2.84E-02,-0.6207028862,0.074,0.13,1.00E+00,Eloc
2.85E-02,-0.2151825914,0.078,0.14,1.00E+00,Gm31305
2.85E-02,-0.2961049273,0.122,0.198,1.00E+00,Kif17
2.86E-02,-0.9443479744,0.024,0.058,1.00E+00,Shh
2.86E-02,-0.1975847441,0.093,0.159,1.00E+00,Tbc1d15
2.87E-02,-0.2877141068,0.065,0.121,1.00E+00,4933424G05Rik
2.87E-02,-0.3207659172,0.052,0.101,1.00E+00,Rasl10b
2.87E-02,-0.4448830437,0.039,0.082,1.00E+00,Rec114
2.88E-02,-0.1388761556,0.128,0.208,1.00E+00,Atl2
2.88E-02,-0.3754829213,0.059,0.111,1.00E+00,Mplkip
2.89E-02,-0.2056321459,0.107,0.179,1.00E+00,Otud5
2.89E-02,-0.1941054394,0.287,0.42,1.00E+00,Baz1b
2.89E-02,-0.173011755,0.393,0.56,1.00E+00,2210408I21Rik
2.90E-02,-0.8247172423,0.024,0.058,1.00E+00,Adh5
2.90E-02,-0.1924025529,0.561,0.744,1.00E+00,Ube2k
2.90E-02,-0.115569073,0.148,0.237,1.00E+00,Pip5k1c
2.90E-02,-0.1046935642,0.228,0.348,1.00E+00,Cenpv
2.91E-02,-0.2311154057,0.17,0.261,1.00E+00,Kcnab3
2.91E-02,-0.2962729636,0.143,0.227,1.00E+00,Zfp251
2.91E-02,-0.1198914382,0.35,0.488,1.00E+00,Cdh8
2.92E-02,-0.2440483594,0.104,0.174,1.00E+00,Rpl24
2.92E-02,-0.632283083,0.043,0.087,1.00E+00,Ezh2
2.93E-02,-0.7976813924,0.024,0.058,1.00E+00,Abca6
2.93E-02,-0.2303969538,0.226,0.338,1.00E+00,Gm43713
2.94E-02,-1.097975586,0.015,0.043,1.00E+00,B230217J21Rik
2.94E-02,-0.1703081978,0.154,0.242,1.00E+00,Tex264
2.94E-02,-0.1528793017,0.611,0.855,1.00E+00,Nalcn
2.94E-02,-0.3383451529,0.039,0.082,1.00E+00,Erich6
2.94E-02,-0.2118141447,0.117,0.193,1.00E+00,Tbc1d32
2.95E-02,-0.1526363013,0.096,0.164,1.00E+00,Zfp738
2.95E-02,-0.8068844255,0.024,0.058,1.00E+00,Apeh
2.95E-02,-0.7872085581,0.024,0.058,1.00E+00,Dnajc12
2.95E-02,-0.305839344,0.098,0.164,1.00E+00,Mknk1
2.96E-02,-0.1921914748,0.45,0.589,1.00E+00,Msra
2.96E-02,-0.2090290045,0.174,0.271,1.00E+00,Rhobtb3
2.96E-02,-0.9494304019,0.015,0.043,1.00E+00,Exosc5
2.96E-02,-1.154599301,0.015,0.043,1.00E+00,Sned1
2.96E-02,-0.1508219056,0.198,0.304,1.00E+00,Vps39
2.96E-02,-0.2827861179,0.065,0.121,1.00E+00,Map2k7
2.97E-02,1.105778619,0.137,0.082,1.00E+00,Trmu
2.97E-02,-0.1384306426,0.378,0.556,1.00E+00,Snx32
2.97E-02,-0.6097259825,0.024,0.058,1.00E+00,Fancg
2.98E-02,-0.8477794802,0.03,0.068,1.00E+00,Bcat2
2.98E-02,-0.3228259925,0.07,0.126,1.00E+00,Mthfsd
2.98E-02,-0.133397563,0.37,0.541,1.00E+00,Parp8
2.99E-02,-0.2696672859,0.059,0.111,1.00E+00,Scrn3
2.99E-02,-0.193851274,0.065,0.121,1.00E+00,Tbc1d8
2.99E-02,-0.1387918678,0.391,0.565,1.00E+00,Cdkal1
3.00E-02,-0.1019027423,0.385,0.56,1.00E+00,Dlgap4
3.00E-02,-0.6581192731,0.015,0.043,1.00E+00,AW011738
3.00E-02,-0.9634684294,0.015,0.043,1.00E+00,1700008O03Rik
3.00E-02,-0.1431368254,0.046,0.092,1.00E+00,Gne
3.01E-02,-0.4214680115,0.05,0.097,1.00E+00,Ascc1
3.01E-02,-0.6135425414,0.024,0.058,1.00E+00,Nkrf
3.01E-02,-0.359984099,0.057,0.106,1.00E+00,Cdr2l
3.03E-02,-0.2092358112,0.187,0.29,1.00E+00,Wdr45b
3.03E-02,-0.3395269712,0.063,0.116,1.00E+00,1110002L01Rik
3.03E-02,-0.2340613928,0.124,0.203,1.00E+00,Gramd1a
3.03E-02,-1.030246612,0.03,0.068,1.00E+00,Ndufa1
3.03E-02,-0.1858017561,0.228,0.338,1.00E+00,Shank3
3.04E-02,-0.2055507333,0.07,0.126,1.00E+00,Foxred1
3.04E-02,-0.3690323184,0.115,0.188,1.00E+00,Uevld
3.04E-02,-0.1493719939,0.13,0.213,1.00E+00,Papss1
3.04E-02,0.2829245313,0.772,0.821,1.00E+00,Ptprs
3.04E-02,-0.1554316437,0.483,0.652,1.00E+00,Tmx4
3.05E-02,-0.2467886185,0.076,0.135,1.00E+00,Arpc5l
3.05E-02,-0.8461147932,0.015,0.043,1.00E+00,Kank4
3.05E-02,-0.4360446082,0.05,0.097,1.00E+00,Paqr7
3.05E-02,-0.3133302364,0.093,0.159,1.00E+00,Adipor1
3.06E-02,-0.5289880222,0.024,0.058,1.00E+00,Trmt112
3.06E-02,-0.2282332376,0.098,0.164,1.00E+00,Ano10
3.06E-02,-0.95104316,0.015,0.043,1.00E+00,Kctd7
3.06E-02,-0.1901150956,0.139,0.222,1.00E+00,Abcf1
