,x,y,roi,transition_index
15436,452.3352355957031,302.31744384765625,O_2,
15437,453.53802490234375,301.3934631347656,O_2,
15438,455.4752807617188,300.641357421875,O_2,
15439,456.6746826171875,299.7970886230469,O_2,
15440,456.6746826171875,298.100341796875,O_2,
15441,456.6746826171875,295.4380187988281,O_2,
15442,455.2898559570313,290.8065490722656,O_2,
15443,454.556396484375,287.32916259765625,O_2,
15444,454.556396484375,287.32916259765625,O_2,
15445,454.556396484375,287.32916259765625,O_2,
15446,455.2333679199219,287.32916259765625,O_2,
15447,455.2333679199219,287.32916259765625,O_2,
15448,455.2333679199219,287.0537109375,O_2,
15449,453.0827331542969,285.1572570800781,O_2,
15450,453.0827331542969,285.12847900390625,O_2,
15451,453.0827331542969,285.123291015625,O_2,
15452,453.9104919433594,285.111083984375,O_2,
15453,454.92523193359375,285.123291015625,O_2,
15454,456.349609375,285.12847900390625,O_2,
15455,456.7531433105469,285.2698669433594,O_2,
15456,456.9127502441406,285.3100280761719,O_2,
15457,458.8043823242188,285.6527404785156,O_2,
15458,458.8043823242188,285.9477844238281,O_2,
15459,458.8043823242188,286.0394287109375,O_2,
15460,459.2146911621094,286.6501770019531,O_2,
15461,459.49072265625,286.776611328125,O_2,
15462,460.3812255859375,286.6501770019531,O_2,
15463,460.9562072753906,286.0394287109375,O_2,
15464,460.9562072753906,285.3436584472656,O_2,
15465,460.9562072753906,284.8764038085937,O_2,
15466,457.05072021484375,277.7760314941406,O_2,
15467,454.8844299316406,274.43328857421875,O_2,
15468,453.88525390625,268.2237854003906,O_2,
15469,453.88525390625,264.8304138183594,O_2,
15470,453.88525390625,256.63543701171875,O_2,
15471,455.3044128417969,254.93116760253903,O_2,
15472,459.5441284179688,254.75558471679688,O_2,
15473,468.6495056152344,253.62258911132807,O_2,
15474,472.6228332519531,252.43731689453125,O_2,
15475,475.60247802734375,251.2529296875,O_2,
15476,478.27294921875,247.6556854248047,O_2,
15477,480.2814331054688,246.92860412597656,O_2,
15478,481.105712890625,246.92860412597656,O_2,
15479,481.4010314941406,246.92860412597656,O_2,
15480,481.4010314941406,248.74688720703125,O_2,
15481,481.3101196289063,249.0112762451172,O_2,
15482,481.1327209472656,249.3233184814453,O_2,
15483,481.3101196289063,249.3233184814453,O_2,
15484,481.3101196289063,249.3233184814453,O_2,
15485,485.4705200195313,248.6229248046875,O_2,
15486,490.1572570800781,246.87045288085935,O_2,
15487,495.3304138183594,246.87045288085935,O_2,
15488,496.75927734375,246.87045288085935,O_2,
15489,498.6461791992188,246.87045288085935,O_2,
15490,498.6461791992188,246.87045288085935,O_2,
15491,498.6461791992188,246.40968322753903,O_2,
15492,497.3232727050781,239.557861328125,O_2,
15493,494.236572265625,238.8436279296875,O_2,
15494,493.6448974609375,235.5361785888672,O_2,
15495,491.9009094238281,234.9490509033203,O_2,
15496,491.9009094238281,234.9490509033203,O_2,
15497,491.9009094238281,234.9490509033203,O_2,
15498,494.8255310058594,241.0397491455078,O_2,
15499,498.2462158203125,245.56399536132807,O_2,
15500,501.4360046386719,248.3162841796875,O_2,
15501,501.9961853027344,250.20294189453125,O_2,
15502,501.9961853027344,252.0709381103516,O_2,
15503,501.9961853027344,252.86032104492188,O_2,
15504,500.7975769042969,252.86032104492188,O_2,
15505,496.2424011230469,252.86032104492188,O_2,
15506,494.0847473144531,249.96636962890625,O_2,
15507,494.0847473144531,248.44097900390625,O_2,
15508,493.7611083984375,248.3772125244141,O_2,
15509,493.9897766113281,248.3064422607422,O_2,
15510,494.0847473144531,247.393310546875,O_2,
15511,494.4134216308594,247.393310546875,O_2,
15512,494.48876953125,247.77679443359372,O_2,
15513,496.2162780761719,247.77679443359372,O_2,
15514,497.2329406738281,248.8235321044922,O_2,
15515,497.2329406738281,249.7012634277344,O_2,
15516,497.2329406738281,249.8104705810547,O_2,
15517,496.9549255371094,249.8104705810547,O_2,
15518,496.771240234375,248.8235321044922,O_2,
15519,494.2070617675781,247.01231384277344,O_2,
15520,493.3271789550781,245.2541656494141,O_2,
15521,489.5824279785156,242.81097412109372,O_2,
15522,489.409423828125,241.00262451171875,O_2,
15523,489.409423828125,238.3585968017578,O_2,
15524,489.54595947265625,238.3585968017578,O_2,
15525,489.54595947265625,238.208740234375,O_2,
15526,491.7099304199219,237.38331604003903,O_2,
15527,493.503173828125,235.60459899902344,O_2,
15528,494.79583740234375,235.60459899902344,O_2,
15529,495.1566162109375,235.60459899902344,O_2,
15530,495.6531677246094,235.9368133544922,O_2,
15531,495.6531677246094,238.27154541015625,O_2,
15532,495.6531677246094,238.65670776367188,O_2,
15533,495.0426025390625,238.65670776367188,O_2,
15534,494.5976257324219,238.65670776367188,O_2,
15535,492.720458984375,238.4559631347656,O_2,
15536,490.8511352539063,238.4559631347656,O_2,
15537,490.3710021972656,238.4559631347656,O_2,
15538,490.3710021972656,240.42662048339844,O_2,
15539,490.3710021972656,241.3204345703125,O_2,
15540,490.4525451660156,244.0089111328125,O_2,
15541,491.587890625,245.12701416015625,O_2,
15542,492.30181884765625,246.122802734375,O_2,
15543,492.97021484375,246.74758911132807,O_2,
15544,493.7850036621094,246.74758911132807,O_2,
15545,494.1050109863281,246.74758911132807,O_2,
15546,494.2189025878906,245.8696746826172,O_2,
15547,500.273681640625,244.3482360839844,O_2,
15548,504.2479553222656,242.47195434570312,O_2,
15549,516.554931640625,242.437744140625,O_2,
15550,520.2750854492188,241.7156524658203,O_2,
15551,525.6456298828125,239.5876007080078,O_2,
15552,527.6923217773438,237.57980346679688,O_2,
15553,531.5816040039062,231.95843505859372,O_2,
15554,533.800048828125,230.4785003662109,O_2,
15555,538.4240112304688,226.2386932373047,O_2,
15556,539.8565673828125,226.2386932373047,O_2,
15557,541.2214965820312,226.2386932373047,O_2,
15558,546.271240234375,227.37608337402344,O_2,
15559,548.5404663085938,227.3813934326172,,
15560,551.798828125,227.3813934326172,,
15561,553.6481323242188,227.3813934326172,,
15562,553.6481323242188,226.4463348388672,,
15563,554.0634765625,226.4463348388672,,
15564,554.0634765625,226.3863677978516,,
15565,553.547119140625,224.2252655029297,,
15566,551.1742553710938,224.2252655029297,,
15567,549.6185302734375,221.7230529785156,,
15568,546.6920776367188,215.96441650390625,O_2,
15569,545.257568359375,213.7725830078125,O_2,
15570,543.2898559570312,213.3651428222656,O_2,
