,x,y,roi
322,308.6205444335937,190.1329040527344,Middle
323,307.3046264648437,183.2328338623047,Middle
324,305.80133056640625,180.81954956054688,Middle
325,302.97662353515625,175.3282470703125,Middle
326,300.98980712890625,171.1099853515625,Middle
327,300.98980712890625,169.58999633789062,Middle
328,300.98980712890625,168.76173400878906,Middle
329,301.1136779785156,168.22531127929688,Middle
330,301.1136779785156,168.22531127929688,Middle
331,301.1136779785156,167.78501892089844,Middle
332,295.41265869140625,167.78501892089844,Middle
333,291.201171875,167.52740478515625,Middle
334,283.1314392089844,164.7819061279297,Middle
335,279.0195007324219,162.86685180664062,Middle
336,275.8072204589844,157.8740692138672,Middle
337,270.6449279785156,151.9724578857422,Middle
338,266.6557006835937,148.62060546875,Middle
339,259.0856018066406,142.72030639648438,Middle
340,253.88299560546875,139.9737091064453,Middle
341,245.6285095214844,133.40069580078125,Middle
342,242.8702087402344,131.1454620361328,Middle
343,240.4937744140625,127.43338775634766,Middle
344,240.4937744140625,125.29254913330078,Middle
345,240.4937744140625,121.06008911132812,Middle
346,241.111572265625,118.10660552978516,Middle
347,241.6964263916016,112.2783660888672,Middle
348,241.71446228027344,105.6247787475586,Middle
349,241.71446228027344,101.03297424316406,Middle
350,241.71446228027344,98.4775161743164,Middle
351,238.9325408935547,98.4775161743164,Middle
352,238.7612152099609,98.4775161743164,Middle
353,237.9838409423828,100.75340270996094,Middle
354,237.66928100585935,100.75340270996094,Middle
355,234.591552734375,100.75340270996094,Middle
356,233.9504547119141,99.82254028320312,Middle
357,233.9178466796875,96.82474517822266,Middle
358,233.63278198242188,96.64715576171876,Middle
359,232.9767303466797,96.64715576171876,Middle
360,231.83502197265625,96.82474517822266,S_2
361,230.69561767578125,96.4496612548828,S_2
362,230.3608856201172,96.4496612548828,S_2
363,230.2580108642578,96.4496612548828,S_2
364,230.06057739257807,94.12698364257812,S_2
365,228.2017517089844,89.82559967041016,S_2
366,227.8879852294922,87.98153686523438,S_2
367,227.8879852294922,86.3738784790039,S_2
368,228.2017517089844,85.82254791259766,S_2
369,228.34060668945312,81.38004302978516,
370,228.4390869140625,81.38004302978516,
371,229.55853271484372,81.38004302978516,
372,234.2032165527344,83.25352478027344,Middle
373,240.698486328125,84.44197082519531,Middle
374,243.88966369628903,87.45660400390625,Middle
