,Nose_x,Nose_y,Head_x,Head_y,roi,transition_index,N_s1_dist,NosePoke,NHaxis_angle,Heading_2_Szone,distance,approaching,EVT1,EVT2,EVT3
101,461.7295227050781,124.62075805664062,461.7295227050781,124.62075805664062,S,,,,113.41712659042784,False,138.3117643856706,True,,,
102,461.7295227050781,124.62075805664062,461.7295227050781,124.62075805664062,S,,,,114.31522203653836,False,138.3117643856706,False,,,
103,462.1777648925781,124.89358520507812,462.1777648925781,124.89358520507812,S,,,,116.1685645189349,False,137.85723884832302,True,,,
104,463.6991271972656,125.99659729003906,463.6991271972656,125.99659729003906,S,,,,119.85984009751367,False,136.31559539981276,True,,,
105,466.43157958984375,126.17803955078124,466.43157958984375,126.17803955078124,S,,,,124.43658698551823,False,133.58084619713546,True,,,
106,468.9098815917969,127.10549926757812,468.9098815917969,127.10549926757812,S,,,,128.7435879360759,False,131.09317021049196,True,,,
107,470.1189270019531,127.44378662109376,470.1189270019531,127.44378662109376,S,,,,129.84293545551532,False,129.88226397952437,True,,,
108,471.6119384765625,128.14927673339844,471.6119384765625,128.14927673339844,S,,,,131.27649876733736,False,128.38814830539891,True,,,
109,471.6353149414063,129.11456298828125,471.6353149414063,129.11456298828125,S,,,,128.47474960196377,False,128.36952372291015,True,,,
110,471.6353149414063,131.06820678710938,471.6353149414063,131.06820678710938,S,,,,125.19420913627503,False,128.40134836940152,False,,,
111,471.6119384765625,133.79849243164062,471.6119384765625,133.79849243164062,S,,,,126.43535990576602,False,128.51893578856684,False,,,
112,471.6119384765625,136.00692749023438,471.6119384765625,136.00692749023438,S,,,,128.48480413273964,False,128.63749542641074,False,,,
113,471.6353149414063,136.3230743408203,471.6353149414063,136.3230743408203,S,,,,128.70787607035064,False,128.6342331445046,True,,,
114,472.1617736816406,140.00340270996094,472.1617736816406,140.00340270996094,S,,,,133.07030623651505,False,128.40052096795233,True,,,
115,472.5848083496094,142.40011596679688,472.5848083496094,142.40011596679688,S,,,,135.50075456028162,False,128.2263405200467,True,,,
116,472.9572143554688,144.0528564453125,472.9572143554688,144.0528564453125,S,,,,136.29212461140628,False,128.05297179049032,True,,,
117,474.8322143554688,145.4287567138672,474.8322143554688,145.4287567138672,S,,,,138.79930479493137,False,126.37537783819472,True,,,
118,477.3267822265625,145.53173828125,477.3267822265625,145.53173828125,S,,,,142.27614322765584,False,123.9196522188933,True,,,
119,479.6514892578125,145.53173828125,479.6514892578125,145.53173828125,S,,,,147.0067869687543,False,121.61877274921281,True,,,
120,481.6813354492188,145.53173828125,481.6813354492188,145.53173828125,S,,,,149.76709652374268,False,119.61048544438958,True,,,
121,482.8610534667969,145.52378845214844,482.8610534667969,145.52378845214844,S,,,,150.7586939862665,False,118.44245842021463,True,,,
122,482.96533203125,145.38284301757812,482.96533203125,145.38284301757812,S,,45.119484178754654,off,148.4237164772267,False,118.31853928243588,True,,,
